"Country","Day","Date","Confirmed","Deaths","Recovered"
"Australia","12","01-02-2020","12","0","2"
"Australia","13","02-02-2020","12","0","2"
"Australia","14","03-02-2020","12","0","2"
"Australia","15","04-02-2020","13","0","2"
"Australia","16","05-02-2020","13","0","2"
"Australia","17","06-02-2020","14","0","2"
"Australia","18","07-02-2020","15","0","2"
"Australia","19","08-02-2020","15","0","2"
"Australia","20","09-02-2020","15","0","2"
"Australia","21","10-02-2020","15","0","2"
"Australia","22","11-02-2020","15","0","2"
"Australia","23","12-02-2020","15","0","2"
"Australia","24","13-02-2020","15","0","8"
"Australia","25","14-02-2020","15","0","8"
"Australia","26","15-02-2020","15","0","8"
"Australia","27","16-02-2020","15","0","8"
"Australia","28","17-02-2020","15","0","10"
"Australia","29","18-02-2020","15","0","10"
"Australia","30","19-02-2020","15","0","10"
"Australia","31","20-02-2020","15","0","10"
"Australia","32","21-02-2020","19","0","11"
"Australia","33","22-02-2020","22","0","11"
"Australia","34","23-02-2020","22","0","11"
"Australia","35","24-02-2020","22","0","11"
"Australia","36","25-02-2020","22","0","11"
"Australia","37","26-02-2020","22","0","11"
"Australia","38","27-02-2020","23","0","11"
"Australia","39","28-02-2020","23","0","11"
"Australia","40","29-02-2020","25","0","11"
"Australia","41","01-03-2020","27","1","11"
"Australia","42","02-03-2020","30","1","11"
"Australia","43","03-03-2020","39","1","11"
"Austria","1","21-01-2020","0","0","0"
"Austria","2","22-01-2020","0","0","0"
"Austria","3","23-01-2020","0","0","0"
"Austria","4","24-01-2020","0","0","0"
"Austria","5","25-01-2020","0","0","0"
"Austria","6","26-01-2020","0","0","0"
"Austria","7","27-01-2020","0","0","0"
"Austria","8","28-01-2020","0","0","0"
"Austria","9","29-01-2020","0","0","0"
"Austria","10","30-01-2020","0","0","0"
"Austria","11","31-01-2020","0","0","0"
"Austria","12","01-02-2020","0","0","0"
"Austria","13","02-02-2020","0","0","0"
"Austria","14","03-02-2020","0","0","0"
"Austria","15","04-02-2020","0","0","0"
"Austria","16","05-02-2020","0","0","0"
"Austria","17","06-02-2020","0","0","0"
"Austria","18","07-02-2020","0","0","0"
"Austria","19","08-02-2020","0","0","0"
"Austria","20","09-02-2020","0","0","0"
"Austria","21","10-02-2020","0","0","0"
"Austria","22","11-02-2020","0","0","0"
"Austria","23","12-02-2020","0","0","0"
"Austria","24","13-02-2020","0","0","0"
"Austria","25","14-02-2020","0","0","0"
"Austria","26","15-02-2020","0","0","0"
"Austria","27","16-02-2020","0","0","0"
"Austria","28","17-02-2020","0","0","0"
"Austria","29","18-02-2020","0","0","0"
"Austria","30","19-02-2020","0","0","0"
"Austria","31","20-02-2020","0","0","0"
"Austria","32","21-02-2020","0","0","0"
"Austria","33","22-02-2020","0","0","0"
"Austria","34","23-02-2020","0","0","0"
"Austria","35","24-02-2020","0","0","0"
"Austria","36","25-02-2020","2","0","0"
"Austria","37","26-02-2020","2","0","0"
"Austria","38","27-02-2020","3","0","0"
"Austria","39","28-02-2020","3","0","0"
"Austria","40","29-02-2020","9","0","0"
"Austria","41","01-03-2020","14","0","0"
"Austria","42","02-03-2020","18","0","0"
"Austria","43","03-03-2020","21","0","0"
"Azerbaijan","1","21-01-2020","0","0","0"
"Azerbaijan","2","22-01-2020","0","0","0"
"Azerbaijan","3","23-01-2020","0","0","0"
"Azerbaijan","4","24-01-2020","0","0","0"
"Azerbaijan","5","25-01-2020","0","0","0"
"Azerbaijan","6","26-01-2020","0","0","0"
"Azerbaijan","7","27-01-2020","0","0","0"
"Azerbaijan","8","28-01-2020","0","0","0"
"Azerbaijan","9","29-01-2020","0","0","0"
"Azerbaijan","10","30-01-2020","0","0","0"
"Azerbaijan","11","31-01-2020","0","0","0"
"Azerbaijan","12","01-02-2020","0","0","0"
"Azerbaijan","13","02-02-2020","0","0","0"
"Azerbaijan","14","03-02-2020","0","0","0"
"Azerbaijan","15","04-02-2020","0","0","0"
"Azerbaijan","16","05-02-2020","0","0","0"
"Azerbaijan","17","06-02-2020","0","0","0"
"Azerbaijan","18","07-02-2020","0","0","0"
"Azerbaijan","19","08-02-2020","0","0","0"
"Azerbaijan","20","09-02-2020","0","0","0"
"Azerbaijan","21","10-02-2020","0","0","0"
"Azerbaijan","22","11-02-2020","0","0","0"
"Azerbaijan","23","12-02-2020","0","0","0"
"Azerbaijan","24","13-02-2020","0","0","0"
"Azerbaijan","25","14-02-2020","0","0","0"
"Azerbaijan","26","15-02-2020","0","0","0"
"Azerbaijan","27","16-02-2020","0","0","0"
"Azerbaijan","28","17-02-2020","0","0","0"
"Azerbaijan","29","18-02-2020","0","0","0"
"Azerbaijan","30","19-02-2020","0","0","0"
"Azerbaijan","31","20-02-2020","0","0","0"
"Azerbaijan","32","21-02-2020","0","0","0"
"Azerbaijan","33","22-02-2020","0","0","0"
"Azerbaijan","34","23-02-2020","0","0","0"
"Azerbaijan","35","24-02-2020","0","0","0"
"Azerbaijan","36","25-02-2020","0","0","0"
"Azerbaijan","37","26-02-2020","0","0","0"
"Azerbaijan","38","27-02-2020","0","0","0"
"Azerbaijan","39","28-02-2020","0","0","0"
"Azerbaijan","40","29-02-2020","0","0","0"
"Azerbaijan","41","01-03-2020","3","0","0"
"Azerbaijan","42","02-03-2020","3","0","0"
"Azerbaijan","43","03-03-2020","3","0","0"
"Bahrain","1","21-01-2020","0","0","0"
"Bahrain","2","22-01-2020","0","0","0"
"Bahrain","3","23-01-2020","0","0","0"
"Bahrain","4","24-01-2020","0","0","0"
"Bahrain","5","25-01-2020","0","0","0"
"Bahrain","6","26-01-2020","0","0","0"
"Bahrain","7","27-01-2020","0","0","0"
"Bahrain","8","28-01-2020","0","0","0"
"Bahrain","9","29-01-2020","0","0","0"
"Bahrain","10","30-01-2020","0","0","0"
"Bahrain","11","31-01-2020","0","0","0"
"Bahrain","12","01-02-2020","0","0","0"
"Bahrain","13","02-02-2020","0","0","0"
"Bahrain","14","03-02-2020","0","0","0"
"Bahrain","15","04-02-2020","0","0","0"
"Bahrain","16","05-02-2020","0","0","0"
"Bahrain","17","06-02-2020","0","0","0"
"Bahrain","18","07-02-2020","0","0","0"
"Bahrain","19","08-02-2020","0","0","0"
"Bahrain","20","09-02-2020","0","0","0"
"Bahrain","21","10-02-2020","0","0","0"
"Bahrain","22","11-02-2020","0","0","0"
"Bahrain","23","12-02-2020","0","0","0"
"Bahrain","24","13-02-2020","0","0","0"
"Bahrain","25","14-02-2020","0","0","0"
"Bahrain","26","15-02-2020","0","0","0"
"Bahrain","27","16-02-2020","0","0","0"
"Bahrain","28","17-02-2020","0","0","0"
"Bahrain","29","18-02-2020","0","0","0"
"Bahrain","30","19-02-2020","0","0","0"
"Bahrain","31","20-02-2020","0","0","0"
"Bahrain","32","21-02-2020","0","0","0"
"Bahrain","33","22-02-2020","0","0","0"
"Bahrain","34","23-02-2020","0","0","0"
"Bahrain","35","24-02-2020","1","0","0"
"Bahrain","36","25-02-2020","23","0","0"
"Bahrain","37","26-02-2020","33","0","0"
"Bahrain","38","27-02-2020","33","0","0"
"Bahrain","39","28-02-2020","36","0","0"
"Bahrain","40","29-02-2020","41","0","0"
"Bahrain","41","01-03-2020","47","0","0"
"Bahrain","42","02-03-2020","49","0","0"
"Bahrain","43","03-03-2020","49","0","0"
"Belarus","1","21-01-2020","0","0","0"
"Belarus","2","22-01-2020","0","0","0"
"Belarus","3","23-01-2020","0","0","0"
"Belarus","4","24-01-2020","0","0","0"
"Belarus","5","25-01-2020","0","0","0"
"Belarus","6","26-01-2020","0","0","0"
"Belarus","7","27-01-2020","0","0","0"
"Belarus","8","28-01-2020","0","0","0"
"Belarus","9","29-01-2020","0","0","0"
"Belarus","10","30-01-2020","0","0","0"
"Belarus","11","31-01-2020","0","0","0"
"Belarus","12","01-02-2020","0","0","0"
"Belarus","13","02-02-2020","0","0","0"
"Belarus","14","03-02-2020","0","0","0"
"Belarus","15","04-02-2020","0","0","0"
"Belarus","16","05-02-2020","0","0","0"
"Belarus","17","06-02-2020","0","0","0"
"Belarus","18","07-02-2020","0","0","0"
"Belarus","19","08-02-2020","0","0","0"
"Belarus","20","09-02-2020","0","0","0"
"Belarus","21","10-02-2020","0","0","0"
"Belarus","22","11-02-2020","0","0","0"
"Belarus","23","12-02-2020","0","0","0"
"Belarus","24","13-02-2020","0","0","0"
"Belarus","25","14-02-2020","0","0","0"
"Belarus","26","15-02-2020","0","0","0"
"Belarus","27","16-02-2020","0","0","0"
"Belarus","28","17-02-2020","0","0","0"
"Belarus","29","18-02-2020","0","0","0"
"Belarus","30","19-02-2020","0","0","0"
"Belarus","31","20-02-2020","0","0","0"
"Belarus","32","21-02-2020","0","0","0"
"Belarus","33","22-02-2020","0","0","0"
"Belarus","34","23-02-2020","0","0","0"
"Belarus","35","24-02-2020","0","0","0"
"Belarus","36","25-02-2020","0","0","0"
"Belarus","37","26-02-2020","0","0","0"
"Belarus","38","27-02-2020","0","0","0"
"Belarus","39","28-02-2020","1","0","0"
"Belarus","40","29-02-2020","1","0","0"
"Belarus","41","01-03-2020","1","0","0"
"Belarus","42","02-03-2020","1","0","0"
"Belarus","43","03-03-2020","1","0","0"
"Belgium","1","21-01-2020","0","0","0"
"Belgium","2","22-01-2020","0","0","0"
"Belgium","3","23-01-2020","0","0","0"
"Belgium","4","24-01-2020","0","0","0"
"Belgium","5","25-01-2020","0","0","0"
"Belgium","6","26-01-2020","0","0","0"
"Belgium","7","27-01-2020","0","0","0"
"Belgium","8","28-01-2020","0","0","0"
"Belgium","9","29-01-2020","0","0","0"
"Belgium","10","30-01-2020","0","0","0"
"Belgium","11","31-01-2020","0","0","0"
"Belgium","12","01-02-2020","0","0","0"
"Belgium","13","02-02-2020","0","0","0"
"Belgium","14","03-02-2020","0","0","0"
"Belgium","15","04-02-2020","1","0","0"
"Belgium","16","05-02-2020","1","0","0"
"Belgium","17","06-02-2020","1","0","0"
"Belgium","18","07-02-2020","1","0","0"
"Belgium","19","08-02-2020","1","0","0"
"Belgium","20","09-02-2020","1","0","0"
"Belgium","21","10-02-2020","1","0","0"
"Belgium","22","11-02-2020","1","0","0"
"Belgium","23","12-02-2020","1","0","0"
"Belgium","24","13-02-2020","1","0","0"
"Belgium","25","14-02-2020","1","0","0"
"Belgium","26","15-02-2020","1","0","0"
"Belgium","27","16-02-2020","1","0","0"
"Belgium","28","17-02-2020","1","0","1"
"Belgium","29","18-02-2020","1","0","1"
"Belgium","30","19-02-2020","1","0","1"
"Belgium","31","20-02-2020","1","0","1"
"Belgium","32","21-02-2020","1","0","1"
"Belgium","33","22-02-2020","1","0","1"
"Belgium","34","23-02-2020","1","0","1"
"Belgium","35","24-02-2020","1","0","1"
"Belgium","36","25-02-2020","1","0","1"
"Belgium","37","26-02-2020","1","0","1"
"Belgium","38","27-02-2020","1","0","1"
"Belgium","39","28-02-2020","1","0","1"
"Belgium","40","29-02-2020","1","0","1"
"Belgium","41","01-03-2020","2","0","1"
"Belgium","42","02-03-2020","8","0","1"
"Belgium","43","03-03-2020","13","0","1"
"Brazil","1","21-01-2020","0","0","0"
"Brazil","2","22-01-2020","0","0","0"
"Brazil","3","23-01-2020","0","0","0"
"Brazil","4","24-01-2020","0","0","0"
"Brazil","5","25-01-2020","0","0","0"
"Brazil","6","26-01-2020","0","0","0"
"Brazil","7","27-01-2020","0","0","0"
"Brazil","8","28-01-2020","0","0","0"
"Brazil","9","29-01-2020","0","0","0"
"Brazil","10","30-01-2020","0","0","0"
"Brazil","11","31-01-2020","0","0","0"
"Brazil","12","01-02-2020","0","0","0"
"Brazil","13","02-02-2020","0","0","0"
"Brazil","14","03-02-2020","0","0","0"
"Brazil","15","04-02-2020","0","0","0"
"Brazil","16","05-02-2020","0","0","0"
"Brazil","17","06-02-2020","0","0","0"
"Brazil","18","07-02-2020","0","0","0"
"Brazil","19","08-02-2020","0","0","0"
"Brazil","20","09-02-2020","0","0","0"
"Brazil","21","10-02-2020","0","0","0"
"Brazil","22","11-02-2020","0","0","0"
"Brazil","23","12-02-2020","0","0","0"
"Brazil","24","13-02-2020","0","0","0"
"Brazil","25","14-02-2020","0","0","0"
"Brazil","26","15-02-2020","0","0","0"
"Brazil","27","16-02-2020","0","0","0"
"Brazil","28","17-02-2020","0","0","0"
"Brazil","29","18-02-2020","0","0","0"
"Brazil","30","19-02-2020","0","0","0"
"Brazil","31","20-02-2020","0","0","0"
"Brazil","32","21-02-2020","0","0","0"
"Brazil","33","22-02-2020","0","0","0"
"Brazil","34","23-02-2020","0","0","0"
"Brazil","35","24-02-2020","0","0","0"
"Brazil","36","25-02-2020","0","0","0"
"Brazil","37","26-02-2020","1","0","0"
"Brazil","38","27-02-2020","1","0","0"
"Brazil","39","28-02-2020","1","0","0"
"Brazil","40","29-02-2020","2","0","0"
"Brazil","41","01-03-2020","2","0","0"
